domain,Organization,email_pattern
amchameu.eu,AMCHAMEU - American Chamber of Commerce to the European Union,{firstname}.{lastname}@{domain}
amf.gov.al,Albanian Financial Supervisory Authority,{firstname}.{lastname}@{domain}
amfori.org,AMFORI - AMFORI,{firstname}.{lastname}@{domain}
amice-eu.org,AMICE - Association of Mutual Insurers and Insurance Cooperatives in Europe,{firstname}.{lastname}@{domain}
amphigean.com,Amphigean Limited,{firstname}.{lastname}@{domain}
ams.com,AMS,{firstname}.{lastname}@{domain}
amundi.com,Amundi Asset management,{firstname}.{lastname}@{domain}
amyris.com,AMYRIS,{firstname}.{lastname}@{domain}
analogical.co.uk,Analogical Systems,{firstname}.{lastname}@{domain}
analysysmason.com,Analysys Mason,{firstname}.{lastname}@{domain}
anasf.it,ANASF - Associazione nazionale consulenti finanziari,{firstname}.{lastname}@{domain}
anat.ro,ANAT - NATIONAL ASSOCIATION OF TRAVEL AGENCIES - ROMANIA,{firstname}.{lastname}@{domain}
anatole.net,Anatole,{firstname}.{lastname}@{domain}
ancine.gov.br,ANCINE,{firstname}.{lastname}@{domain}
anderson.ucla.edu,,{firstname}.{lastname}@{domain}
anec.eu,ANEC,{firstname}.{lastname}@{domain}
anholt.eu,European Commission,{firstname}.{lastname}@{domain}
anigas.it,Anigas,{firstname}.{lastname}@{domain}
antel.com.uy,Antelope Consulting International,{firstname}.{lastname}@{domain}
antgroup.com,Ant Group,{firstname}.{lastname}@{domain}
anticancerfund.org,Anticancerfund,{firstname}.{lastname}@{domain}
anu.edu.au,,{firstname}.{lastname}@{domain}
aonhewitt.com,Aon Hewitt,{firstname}.{lastname}@{domain}
ap1.se,AP1 - Första AP-fonden,{firstname}.{lastname}@{domain}
apex-its.be,Apex IT Services,{firstname}.{lastname}@{domain}
apg-am.nl,APG Asset Management,{firstname}.{lastname}@{domain}
apg.nl,APG Asset Management,{firstname}.{lastname}@{domain}
apollonian.eu,Apollonian,{firstname}.{lastname}@{domain}
apple.com,Apple Inc.,{firstname}.{lastname}@{domain}
applia-europe.eu,APPLiA - APPLiA,{firstname}.{lastname}@{domain}
apref.org,APREF - French Association of Professional Reinsurers,{firstname}.{lastname}@{domain}
arcelomittal.com,Arcelor Mittal,{firstname}.{lastname}@{domain}
arcelorMittal.com,ArcelorMittal,{firstname}.{lastname}@{domain}
arendt.Com,Arendt & Medernach,{firstname}.{lastname}@{domain}
arendt.com,Arendt & Medernach – Lex Mundi member,{firstname}.{lastname}@{domain}
areva.com,AREVA,{firstname}.{lastname}@{domain}
argotractors.com,Agro Tractors,{firstname}.{lastname}@{domain}
argusmedia.com,Argus Media,{firstname}.{lastname}@{domain}
arjel.fr,ARJEL - French Online Gaming Regulatory Authority,{firstname}.{lastname}@{domain}
arkus-fs.com,Arkus Financial Services ,{firstname}.{lastname}@{domain}
arnoldporter.com ,Arnold & Porter (UK) LLP,{firstname}.{lastname}@{domain}
arpartners.com,Edelman A&R,{firstname}.{lastname}@{domain}
artemis.com.cy,Artemis,{firstname}.{lastname}@{domain}
arup.com,Arup,{firstname}.{lastname}@{domain}
arvato.com,infoscore Consumer Data GmbH,{firstname}.{lastname}@{domain}
as-europe.org,ASD - AeroSpace and Defence Industries Association of Europe,{firstname}.{lastname}@{domain}
asa.org.uk,ASA - Advertising Standards Authority,{firstname}.{lastname}@{domain}
asaworld.aero,Airport Services Association,{firstname}.{lastname}@{domain}
ascom.com,Ascom Network Testing,{firstname}.{lastname}@{domain}
asd-europe.org,ASD - AeroSpace and Defence Industries Association of Europe,{firstname}.{lastname}@{domain}
asf-france.com,ASF - Association française des sociétés Financières,{firstname}.{lastname}@{domain}
asfromania.ro,ASF - Association Française des Sociétés Financières,{firstname}.{lastname}@{domain}
ashurst.com,Ashurst LLP,{firstname}.{lastname}@{domain}
asia.bnpparibas.com,BNP Paribas,{firstname}.{lastname}@{domain}
asiakastieto.fi,Suomen Asiakastieto Oy,{firstname}.{lastname}@{domain}
asic.gov.au,ASIC - Australian Securities and Investments Commission,{firstname}.{lastname}@{domain}
asml.com,ASML - ASML Netherlands BV,{firstname}.{lastname}@{domain}
aspectusgroup.com,Aspectus Group ,{firstname}.{lastname}@{domain}
asr.nl,ASR Nederland,{firstname}.{lastname}@{domain}
assogestioni.it,Assogestioni,{firstname}.{lastname}@{domain}
assolombarda.it,Assolombarda,{firstname}.{lastname}@{domain}
assuralia.be,Assuralia,{firstname}.{lastname}@{domain}
astellia.com,Astellia,{firstname}.{lastname}@{domain}
astrazeneca.com,AstraZeneca,{firstname}.{lastname}@{domain}
asuits.sanita.fvg.it,University of Trieste,{firstname}.{lastname}@{domain}
at.pwc.com,PwC - PricewaterhouseCoopers,{firstname}.{lastname}@{domain}
ataccama.com,United-Telekom,{firstname}.{lastname}@{domain}
athora.com,Athora,{firstname}.{lastname}@{domain}
atkearney.com,AT Kearney,{firstname}.{lastname}@{domain}
atos.net,Atos Worldline,{firstname}.{lastname}@{domain}
atosmedical.com,Atos Medical,{firstname}.{lastname}@{domain}
att.com,AT&T Mobility,{firstname}.{lastname}@{domain}
attrax.lu,Attrax Financial Services,{firstname}.{lastname}@{domain}
atvod.co.uk,ATVOD - Authority for Television on Demand,{firstname}.{lastname}@{domain}
atvp.si,"SMA, Slovenija",{firstname}.{lastname}@{domain}
aulaeurope.eu,EPE - Energy Peat Europe,{firstname}.{lastname}@{domain}
auswaertiges-amt.de,Permanent Representation of Germany to the EU,{firstname}.{lastname}@{domain}
autilla.com,Autilla Ltd,{firstname}.{lastname}@{domain}
autoroutes.fr,ASFA,{firstname}.{lastname}@{domain}
avantiplc.com,Avanti Communications Group plc,{firstname}.{lastname}@{domain}
avem.fr,Avem,{firstname}.{lastname}@{domain}
avfallsverige.se,Avfall Sverige – Swedish Waste Management,{firstname}.{lastname}@{domain}
aviatnet.com,Aviat Networks,{firstname}.{lastname}@{domain}
avisa.eu,Avisa Partners,{firstname}.{lastname}@{domain}
"avisa.eu

",Avisa Partners,{firstname}.{lastname}@{domain}
avisapartners.eu,Avisa Partners,{firstname}.{lastname}@{domain}
aviva.com,Aviva Investors,{firstname}.{lastname}@{domain}
"aviva.com
",Aviva,{firstname}.{lastname}@{domain}
aviva.con,Aviva Investors,{firstname}.{lastname}@{domain}
avivainvestors.com,Aviva Investors,{firstname}.{lastname}@{domain}
avoncompany.com,Avon,{firstname}.{lastname}@{domain}
axa-im.com,AXA,{firstname}.{lastname}@{domain}
axa.be,AXA - ,{firstname}.{lastname}@{domain}
axa.com,AXA,{firstname}.{lastname}@{domain}
axa.de,AXA Funds Management,{firstname}.{lastname}@{domain}
axa.fr,AXA,{firstname}.{lastname}@{domain}
axaxl.com,AXA XL,{firstname}.{lastname}@{domain}
axaxl.com ,AXA XL,{firstname}.{lastname}@{domain}
axfood.se,Axfood,{firstname}.{lastname}@{domain}
axha.eu,AxHA,{firstname}.{lastname}@{domain}
axione.fr,Axione,{firstname}.{lastname}@{domain}
azoac.com,Allianz of America Corporation,{firstname}.{lastname}@{domain}
aztec-consult.com,Aztec Consult,{firstname}.{lastname}@{domain}
b3pa.net,B3PA,{firstname}.{lastname}@{domain}
baerkarrer.ch,Bär & Karrer,{firstname}.{lastname}@{domain}
baesystems.com,BAE Systems,{firstname}.{lastname}@{domain}
bafin.de,BaFin - Bundesanstalt für Finanzdienstleistungsaufsicht,{firstname}.{lastname}@{domain}
"bafin.de
",BAFIN - BAFIN - Bundesanstalt fur Finanzdienstleistungsaufsich,{firstname}.{lastname}@{domain}
bag.admin.ch,Ministry of Health,{firstname}.{lastname}@{domain}
bahnhof.net,Internet Operator Bahnhof,{firstname}.{lastname}@{domain}
bailliegifford.com,Baillie Gifford & Co,{firstname}.{lastname}@{domain}
bakerhughes.com,Baker Hughes Incorporated,{firstname}.{lastname}@{domain}
bakermckenzie.com,Baker & McKenzie LLP,{firstname}.{lastname}@{domain}
bakertilly.lu,Baker Tilly Luxembourg,{firstname}.{lastname}@{domain}
bambora.com,Bambora,{firstname}.{lastname}@{domain}
baml.com,Bank of America - Merrill Lynch,{firstname}.{lastname}@{domain}
banca.mps.it,Banca Monte dei Paschi di Siena S.p.A.,{firstname}.{lastname}@{domain}
bancaditalia.it,ABI - Italian Banking Association ,{firstname}.{lastname}@{domain}
bancagenerali.it,Banca Generali,{firstname}.{lastname}@{domain}
bancaprofilo.it,Banca Profilo,{firstname}.{lastname}@{domain}
bancontactpayconiq.com,Bancontact Payconiq Company,{firstname}.{lastname}@{domain}
bancopopolare.it,Banco Popolare,{firstname}.{lastname}@{domain}
bancoweb.ch,"Banco, Paris",{firstname}.{lastname}@{domain}
bane.dk,Banedanmark,{firstname}.{lastname}@{domain}
bank.lv,Permanent Representation of Latvia to the EU,{firstname}.{lastname}@{domain}
bankart.si,Bankart,{firstname}.{lastname}@{domain}
bankenverband.li,Liechtenstein Bankers Association,{firstname}.{lastname}@{domain}
bankingstandardsboard.org.uk.,Banking Standards Board,{firstname}.{lastname}@{domain}
bankofamerica.com,Bank of America ,{firstname}.{lastname}@{domain}
bankofchina.com,Bank of China,{firstname}.{lastname}@{domain}
bankofcyprus.com,Bank of Cyprus,{firstname}.{lastname}@{domain}
bankofengland.co.uk,Bank of England,{firstname}.{lastname}@{domain}
bankofengland.gsi.gov.uk,HM Treasury,{firstname}.{lastname}@{domain}
bankwatch.org,Bankwatch,{firstname}.{lastname}@{domain}
banque-france.fr,,{firstname}.{lastname}@{domain}
banque-populaire.fr,Banque populaire ,{firstname}.{lastname}@{domain}
barcap.com,Barclays,{firstname}.{lastname}@{domain}
barclaycard.co.uk,Barclays,{firstname}.{lastname}@{domain}
barclaycard.de,Barclaycard Germany,{firstname}.{lastname}@{domain}
barclays.be,Barclays,{firstname}.{lastname}@{domain}
barclays.com,Barclays,{firstname}.{lastname}@{domain}
barclays.com ,Barclays,{firstname}.{lastname}@{domain}
barings.com,Baring Asset Management,{firstname}.{lastname}@{domain}
barz-wiillems.de,Barz + Willems GmbH,{firstname}.{lastname}@{domain}
bascomsfolly.com,Bascom's Folly Solutions,{firstname}.{lastname}@{domain}
basecompany.be,BASE Company,{firstname}.{lastname}@{domain}
bauindustrie.de,Hauptverband der Deutschen Bauindustrie,{firstname}.{lastname}@{domain}
bayern.landtag.de,Bavarian State Parliament Office in Brussels,{firstname}.{lastname}@{domain}
baysf.de,BaySF - Bavarian State Forest Enterprise,{firstname}.{lastname}@{domain}
bba.org.uk,BBA - British Bankers Association,{firstname}.{lastname}@{domain}
bbc.co.uk,BBC,{firstname}.{lastname}@{domain}
"bbc.com	
",BBC,{firstname}.{lastname}@{domain}
bbcworldwide.com,BBC,{firstname}.{lastname}@{domain}
bbh-online.de,BBH - Becker Buttner Held,{firstname}.{lastname}@{domain}
bbmri-eric.eu,BBMRI-ERIC,{firstname}.{lastname}@{domain}
bcl.lu,Banque Centrale du Luxembourg,{firstname}.{lastname}@{domain}
bcme.org,BCME - Beverage Can Makers Europe,{firstname}.{lastname}@{domain}
bcw-global.com,BCW,{firstname}.{lastname}@{domain}
bdb.de,BDB - Association of German Banks,{firstname}.{lastname}@{domain}
bde-berlin.org,und Rohstoffwirtschaft,{firstname}.{lastname}@{domain}
bdo.be,BDO - BDO Belgium,{firstname}.{lastname}@{domain}
bdo.co.uk,BDO,{firstname}.{lastname}@{domain}
bdp-online.de,German Plant Breeders Association,{firstname}.{lastname}@{domain}
bdsi.de ,BDSI - Association of the German Confectionery Industry,{firstname}.{lastname}@{domain}
bdzv.de,Bundesverband Deutscher Zeitungsverleger,{firstname}.{lastname}@{domain}
be.abnamro.com,ABN Amro Clearing,{firstname}.{lastname}@{domain}
be.ey.com,Ernst & Young,{firstname}.{lastname}@{domain}
be.michelin.com,Michelin,{firstname}.{lastname}@{domain}
be.pwc.com,PwC - PricewaterhouseCoopers,{firstname}.{lastname}@{domain}
be.telekom.de,Deutsche Telekom,{firstname}.{lastname}@{domain}
be.verizonbusiness.com,Verizon,{firstname}.{lastname}@{domain}
bearconsulting.co.uk,Bear Consultancy Ltd,{firstname}.{lastname}@{domain}
bearingpoint.com,BearingPoint,{firstname}.{lastname}@{domain}
beazley.com,Beazley,{firstname}.{lastname}@{domain}
behrgroup.com,Behr GmbH & Co.,{firstname}.{lastname}@{domain}
beijaflore.com,Beijaflore,{firstname}.{lastname}@{domain}
belex.com,Bonelli Erede Pappalardo,{firstname}.{lastname}@{domain}
belex.rs,,{firstname}.{lastname}@{domain}
belfius.be,Belfius Insurance,{firstname}.{lastname}@{domain}
belgacom.com,Belgacom,{firstname}.{lastname}@{domain}
belgium.be,Ministry of Foreign Affairs Belgium,{firstname}.{lastname}@{domain}
belgium.cfasociety.org,CFA Institute,{firstname}.{lastname}@{domain}
bellecapital.ch,Bellecapital,{firstname}.{lastname}@{domain}
beltug.be,BELTUG,{firstname}.{lastname}@{domain}
bench.com,Benchmark Electronics,{firstname}.{lastname}@{domain}
bendurafunds-alpha.li,Bendura Fund Management Alpha AG,{firstname}.{lastname}@{domain}
beplex.com,Bonelli Erede Pappalardo,{firstname}.{lastname}@{domain}
berbalkcommunications.com,Berbalk Communications,{firstname}.{lastname}@{domain}
berenberg.de,Berenberg,{firstname}.{lastname}@{domain}
berlin-partner.de,Berlin Partner for Business and Technology,{firstname}.{lastname}@{domain}
bertelsmann.de,Bertelsmann SE & Co. KGaA,{firstname}.{lastname}@{domain}
betclic.com,Betclic,{firstname}.{lastname}@{domain}
betfair.com,Betfair,{firstname}.{lastname}@{domain}
betsson.com,Betsson,{firstname}.{lastname}@{domain}
betssonab.com,Betsson,{firstname}.{lastname}@{domain}
bg-group.com,BG Group,{firstname}.{lastname}@{domain}
bg-permrep.eu,Permanent Representation of Bulgaria to the EU,{firstname}.{lastname}@{domain}
bhs.lu,,{firstname}.{lastname}@{domain}
big-xyt.com,big xyt,{firstname}.{lastname}@{domain}
bigsocietycapital.com,Big Society Capital,{firstname}.{lastname}@{domain}
bik.pl,BIK - Credit Information Bureau,{firstname}.{lastname}@{domain}
bild.eu,,{firstname}.{lastname}@{domain}
binance.com,Binance,{firstname}.{lastname}@{domain}
bio-based.com,Bio-based industries consortium,{firstname}.{lastname}@{domain}
biogen.com,Biogen,{firstname}.{lastname}@{domain}
biontino.eu,Biontino Europe,{firstname}.{lastname}@{domain}
bir.org.uk,The British Institute of Radiology,{firstname}.{lastname}@{domain}
birchwoodknight.co.uk,Birchwood Knight,{firstname}.{lastname}@{domain}
birdlife.org,Stichting BirdLife Europe ,{firstname}.{lastname}@{domain}
birouldecredit.ro,Biroul de Credit,{firstname}.{lastname}@{domain}
bis.gsi.gov.uk (doesn't work),Cyber EU and International Policy,{firstname}.{lastname}@{domain}
bis.org,BIS - Bank for International Settlements,{firstname}.{lastname}@{domain}
bischofskonferenz.at,OEBK - Büro Brüssel des Generalsekretariats der Österreichischen Bischofskonferenz (Büro Brüssel ,{firstname}.{lastname}@{domain}
bitfury.com,The Bitfury Group,{firstname}.{lastname}@{domain}
bitpanda.com,Bitpanda Financial Services GmbH,{firstname}.{lastname}@{domain}
bka.gv.at,Federal Chancellery of Austria,{firstname}.{lastname}@{domain}
bki-okb.ru,United Credit Bureau,{firstname}.{lastname}@{domain}
bkncapital.lu,BKN Captial S.A,{firstname}.{lastname}@{domain}
bkw.ch,BKW FMB Energie AG,{firstname}.{lastname}@{domain}
blablacar.com,Bla Bla Car,{firstname}.{lastname}@{domain}
blackrock.com,BlackRock,{firstname}.{lastname}@{domain}
blackstone.com,Blackstone Group,{firstname}.{lastname}@{domain}
blackthorn.com,Blackthorn Technologies & QCC Information Security,{firstname}.{lastname}@{domain}
blplaw.com,Berwin Leighton Paisner LLP,{firstname}.{lastname}@{domain}
bluwan.com,Bluwan,{firstname}.{lastname}@{domain}
bm.com,Burson-Marsteller,{firstname}.{lastname}@{domain}
bmeia.gv.at,Permanent Representation of Austria to the EU,{firstname}.{lastname}@{domain}
bmeiagv.at,Permanent Representation of Austria to the EU,{firstname}.{lastname}@{domain}
bmf.bund.de,German Ministry of Finance,{firstname}.{lastname}@{domain}
bmf.gv.at,"Ministry of Finance, Austria",{firstname}.{lastname}@{domain}
bmk.gv.at,Ministry of Climate of Austria,{firstname}.{lastname}@{domain}
bmo.com,BMO Financial Group ,{firstname}.{lastname}@{domain}
bmrn.com,BioMarin,{firstname}.{lastname}@{domain}
bmuv.bund.de,Ministry of Environment of Germany,{firstname}.{lastname}@{domain}
bmw.be,BMW,{firstname}.{lastname}@{domain}
bmw.de,BMW Group,{firstname}.{lastname}@{domain}
bnb.bg,Bulgarian National Bank,{firstname}.{lastname}@{domain}
bnc.ca,National Bank of Canada,{firstname}.{lastname}@{domain}
bngbank.nl,BNG Bank,{firstname}.{lastname}@{domain}
bnlmail.com,"BNL - Italian Banking , Insurance and Finance Federation ",{firstname}.{lastname}@{domain}
bnpparibas.com,BNP Paribas,{firstname}.{lastname}@{domain}
bnpparibasfortis.com,BNP Paribas,{firstname}.{lastname}@{domain}
bnro.ro,National Bank of Romania,{firstname}.{lastname}@{domain}
bny.com,BNY Mellon,{firstname}.{lastname}@{domain}
bnymellon.com,The Bank of New York Mellon,{firstname}.{lastname}@{domain}
board-partners.com,Board Partners GmbH,{firstname}.{lastname}@{domain}
bodensee-stiftung.org,LCF - Lake Constance Foundation,{firstname}.{lastname}@{domain}
boehringer-ingelheim.com,Boehringer Ingelheim,{firstname}.{lastname}@{domain}
boekel.com,Boekel De Nerée,{firstname}.{lastname}@{domain}
bof.fi,Bank of Finland,{firstname}.{lastname}@{domain}
boldtpartners.com,Boldt Partners,{firstname}.{lastname}@{domain}
bonetherapeutics.com ,Bone Therapeutics,{firstname}.{lastname}@{domain}
booking.com,Booking,{firstname}.{lastname}@{domain}
bordet.be,Institut Jules Bordet,{firstname}.{lastname}@{domain}
borealisgroup.com,Borealis,{firstname}.{lastname}@{domain}
borsaistanbul.com,,{firstname}.{lastname}@{domain}
borsaitaliana.it,LSEG - Borsa Italiana - London Stock Exchange Group,{firstname}.{lastname}@{domain}
bos.nu,BOS ,{firstname}.{lastname}@{domain}
bosch.com,Bosch,{firstname}.{lastname}@{domain}
bousie.nl,Bousie Media and Entertainment Lawyers,{firstname}.{lastname}@{domain}
bouygues.fr,Bouygues,{firstname}.{lastname}@{domain}
bp.com,BP,{firstname}.{lastname}@{domain}
bpbbank.com,BPB,{firstname}.{lastname}@{domain}
bpce.fr,BPCE Group - Banques Populaires & Caisses d'Epargne,{firstname}.{lastname}@{domain}
bper.it,BPER - Banca popolare dell’Emilia Romagna (BPER-Emilia Romagna),{firstname}.{lastname}@{domain}
brabo.com,EBA - European Boatmen's Association,{firstname}.{lastname}@{domain}
brafco.be,ECFD - European Conference of Fuel Distributors,{firstname}.{lastname}@{domain}
brak.be,BRAK - Bundesrechtsanwaltskammer,{firstname}.{lastname}@{domain}
brambles.com,Brambles,{firstname}.{lastname}@{domain}
brg-expert.com,Berkeley Research Group,{firstname}.{lastname}@{domain}
bridgestone.eu,Bridgestone Europe,{firstname}.{lastname}@{domain}
bristol.ac.uk,Univeristy of Bristol,{firstname}.{lastname}@{domain}
britishwater.co.uk,Aqua Europa  - Aqua Europa AISBL,{firstname}.{lastname}@{domain}
broadbandeurope.eu,Schuman Associates,{firstname}.{lastname}@{domain}
broadbanduk.org,BSG - Broadband Stakeholder Group,{firstname}.{lastname}@{domain}
broadcast-networks.eu,BNE - Broadcast Networks Europe,{firstname}.{lastname}@{domain}
broadridge.com,Broadridge ,{firstname}.{lastname}@{domain}
bruegel.org,Bruegel,{firstname}.{lastname}@{domain}
bruessel.bwl.de,Permanent Representation of Baden-Württemberg to the EU,{firstname}.{lastname}@{domain}
bruxinfo.hu,Bruxinfo,{firstname}.{lastname}@{domain}
bsa.org,software,{firstname}.{lastname}@{domain}
bsci.com,bsci,{firstname}.{lastname}@{domain}
bshg.com,BSH Group,{firstname}.{lastname}@{domain}
bsi.si,ZBS - The Bank Association of Slovenia,{firstname}.{lastname}@{domain}
bskyb.com,Skybet,{firstname}.{lastname}@{domain}
bt.com,BT - British Telecom,{firstname}.{lastname}@{domain}
btplc.com,BT - British Telecom,{firstname}.{lastname}@{domain}
buisness-sweden.se,Business Sweden - The Swedish Trade & Invest Council ,{firstname}.{lastname}@{domain}
bundesbank.de,Deutsche Bundesbank,{firstname}.{lastname}@{domain}
bundesliga.de,Bundesliga,{firstname}.{lastname}@{domain}
"bundestag.de
",Deutscher Bundestag,{firstname}.{lastname}@{domain}
bunge.com,Bunge,{firstname}.{lastname}@{domain}
burgundy.se,ETEManagement AB,{firstname}.{lastname}@{domain}
businesssolutions.es,UBS,{firstname}.{lastname}@{domain}
buyin.pro,BuyIn,{firstname}.{lastname}@{domain}
buzzfeed.com,BuzzFeed,{firstname}.{lastname}@{domain}
bvb.ro,BVB - Bucharest Stock Exchange,{firstname}.{lastname}@{domain}
bvi.de,BVI - Bundesverband Investment und Asset Management e.V.,{firstname}.{lastname}@{domain}
bwinparty.com,bwin Party,{firstname}.{lastname}@{domain}
bxl.sachsen.de,Saxony Liaison Office Brussels,{firstname}.{lastname}@{domain}
c-indosuez.com,Indosuez Wealth Management,{firstname}.{lastname}@{domain}
c4ep.eu,Centre for European Progression,{firstname}.{lastname}@{domain}
ca-assetmanagementlux.com,CA Asset Management Luxembourg,{firstname}.{lastname}@{domain}
ca-cib.com,Crédit Agricole Corporate & Investment Bank,{firstname}.{lastname}@{domain}
ca-fnca.fr,Crédit Agricole,{firstname}.{lastname}@{domain}
ca-indosuez.com,Indosuez Wealth Management,{firstname}.{lastname}@{domain}
ca-ps.com,Crédit Agricole Payment Services,{firstname}.{lastname}@{domain}
cabinet-samman.com,Samman Law and Corporate Affairs,{firstname}.{lastname}@{domain}
cabinetdn.com,Cabinet DN,{firstname}.{lastname}@{domain}
cabinetoffice.gov.uk,"Cabinet Office, Europe Unit",{firstname}.{lastname}@{domain}
cable-europe.eu,Cable Europe,{firstname}.{lastname}@{domain}
caissedesdepots.fr,Palladio Institute,{firstname}.{lastname}@{domain}
caiuscapital.com,Caius Capital LLP,{firstname}.{lastname}@{domain}
callcreditgroup.com,Callcredit Information Group,{firstname}.{lastname}@{domain}
calnexsol.com,Calnex Solutions,{firstname}.{lastname}@{domain}
cambridge.org,University of Cambridge,{firstname}.{lastname}@{domain}
cameleon-software.com,Cameleon Software,{firstname}.{lastname}@{domain}
camping.rs,Camping Association of Serbia,{firstname}.{lastname}@{domain}
campofriofg.com,Campofrio Food Group,{firstname}.{lastname}@{domain}
canadalife.co.uk,Canada Life UK,{firstname}.{lastname}@{domain}
canadean.com,Canadean,{firstname}.{lastname}@{domain}
canadiansred.ca,Canadian SR&ED Solutions,{firstname}.{lastname}@{domain}
canda.com,C&A,{firstname}.{lastname}@{domain}
candriam.com,Candriam,{firstname}.{lastname}@{domain}
canso.org,CANSO - Civil Air Navigation Services Organisation,{firstname}.{lastname}@{domain}
caobisco.eu,CAOBISCO,{firstname}.{lastname}@{domain}
capacitymedia.com,Capacity Media,{firstname}.{lastname}@{domain}
capita.co.uk,Capita,{firstname}.{lastname}@{domain}
capitalgroup.com,Capital Fund Management,{firstname}.{lastname}@{domain}
capitalmsl.com,Capital MS&L,{firstname}.{lastname}@{domain}
care.no,CARE,{firstname}.{lastname}@{domain}
cargotec.com,Cargotec,{firstname}.{lastname}@{domain}
carnegie.se ,Carnegie Investment Bank,{firstname}.{lastname}@{domain}
carnegroup.com,Carne Group,{firstname}.{lastname}@{domain}
castell-bank.de,Fürstlich Castell’sche Bank,{firstname}.{lastname}@{domain}
cbba-europe.eu,CBBA - Cross Border Benefits Alliance-Europe,{firstname}.{lastname}@{domain}
cbd-bcd.be,Belgian Royal Committee for Distribution,{firstname}.{lastname}@{domain}
cbi.org.uk,CBI - Confederation of British Industry,{firstname}.{lastname}@{domain}
cbpweb.nl,DPA - College Bescherming Persoonsgegevens,{firstname}.{lastname}@{domain}
ccblr.org,,{firstname}.{lastname}@{domain}
ccianet.org,CCIA - Computer and Communications Industry Association,{firstname}.{lastname}@{domain}
ccre-cemr.org,CEMR - Council of European Municipalities and Regions,{firstname}.{lastname}@{domain}
cdp.net,CDP,{firstname}.{lastname}@{domain}
cdsb.net,Climate Disclosure Standards Board,{firstname}.{lastname}@{domain}
cdt.org,Center for Democracy & Technology,{firstname}.{lastname}@{domain}
cea.fr,CEA - French Atomic Energy Commission,{firstname}.{lastname}@{domain}
cebre.cz,CEBRE - Czech Business Representation to the EU,{firstname}.{lastname}@{domain}
cec.eut.int,,{firstname}.{lastname}@{domain}
ceccm.eu,CECCM - Confederation of European Community Cigarette Manufacturers ,{firstname}.{lastname}@{domain}
cecimo.eu,CECIMO - European Association of the Machine Tool Industries,{firstname}.{lastname}@{domain}
cecimo.eu ,CECIMO - European Association of the Machine Tool Industries,{firstname}.{lastname}@{domain}
cecra.eu,CECRA - European Council for Motor Trades and Repairs,{firstname}.{lastname}@{domain}
ceemet.org,"Council of European Employers of the Metal, Engineering and Technology-Based Industries",{firstname}.{lastname}@{domain}
ceep.eu,CEEP - European Centre of Employers and Enterprises providing Public services,{firstname}.{lastname}@{domain}
cefs.org,CEFS - COMITE EUROPEEN des FABRICANTS de SUCRE ,{firstname}.{lastname}@{domain}
ceg.es,CEG - Confederación de Empresarios de Galicia,{firstname}.{lastname}@{domain}
cei-bois.org,CEI-BOIS - European Confederation of Woodworking Industries,{firstname}.{lastname}@{domain}
cema-agri.org,CEMA - European Agricultural Machinery,{firstname}.{lastname}@{domain}
cenorm.be,CEN - European Committee for Standardization,{firstname}.{lastname}@{domain}
centalbank.ie,Central Bank of Ireland,{firstname}.{lastname}@{domain}
centaur.co.uk,Centaur Communications,{firstname}.{lastname}@{domain}
centevo.no,Euronext Centevo,{firstname}.{lastname}@{domain}
centralbank.ie,Central Bank of Ireland,{firstname}.{lastname}@{domain}
centralbank.ie ,Central Bank of Ireland,{firstname}.{lastname}@{domain}
centreofthecell.org,Centre of the Cell,{firstname}.{lastname}@{domain}
centrica.co.uk,Centrica,{firstname}.{lastname}@{domain}
centrica.com,Centrica,{firstname}.{lastname}@{domain}
ceoc.com,CEOC,{firstname}.{lastname}@{domain}
cepa.org,CEPA - Center for European Policy Analysis,{firstname}.{lastname}@{domain}
cepf-eu.org, (CEPF) - Conféderation Européenne des Propriétaires Forestiers ,{firstname}.{lastname}@{domain}
cepi.eu,CEPI - CEPI-CEI - European Association of Real Estate Professions,{firstname}.{lastname}@{domain}
ceps.com,CEPS - Center for European Policy Studies,{firstname}.{lastname}@{domain}
ceps.eu,CEPS - Centre for European Policy Studies,{firstname}.{lastname}@{domain}
cer.be,CER - Community of European Railway and Infrastructure Companies,{firstname}.{lastname}@{domain}
cerillion.com,Cerillion Technologies,{firstname}.{lastname}@{domain}
cern.ch,CERN ,{firstname}.{lastname}@{domain}
cetecom.com,CETECOM GmbH,{firstname}.{lastname}@{domain}
cez.cz,CEZ,{firstname}.{lastname}@{domain}
cfainstitute.org,CFA Institute,{firstname}.{lastname}@{domain}
cfdd.be,FRDO - Federal Council For Sustainable Development Belgium,{firstname}.{lastname}@{domain}
cffs.lu,CFFS - Commission de Surveillance du Secteur Financier,{firstname}.{lastname}@{domain}
cfs.coop,The Co-operative Banking Group,{firstname}.{lastname}@{domain}
cgd.pt,Caixa Geral de Depósitos,{firstname}.{lastname}@{domain}
cgi.com,CGI,{firstname}.{lastname}@{domain}
cgm.com,CGM,{firstname}.{lastname}@{domain}
ch.ey.com,EY,{firstname}.{lastname}@{domain}
ch.pvmgrp.com,Mondarom-Groven,{firstname}.{lastname}@{domain}
ch.pwc.com,PWC,{firstname}.{lastname}@{domain}
ch.transport.bombardier.com,Bombardier,{firstname}.{lastname}@{domain}
chainiq.com,Chain IQ UK limited,{firstname}.{lastname}@{domain}
